website hits 2021,england,scotland,wales,northern_ireland
january,111489867,14086654,7050468,1969890
february,113395311,8252579,7465088,5297728
march,147126378,15135193,5755244,5458827
april,68692218,9398040,3334371,2061089
may,123402683,6880974,6017323,2607068
june,109407351,14597859,6725606,3158351
july,162736677,9815911,7332237,2397495
august,155457657,13348864,5579034,4531297
september,167413132,14362371,7898056,3292433
october,80774096,9900975,5953519,5373870
november,115632905,6691747,6315941,2136493
december,65087855,6618798,5939866,4139297
